record_id,product_name,brand_name,brand_confidence,product_type,vendor,price_usd,commission_type,commission_pct,commission_flat_usd,net_earnings_per_sale_usd,cart_conversion_pct,cancellation_rate_pct,promotion_status,promotable_now,product_age_days,online_since_iso,derived_niche,risk_flags,source_page,parse_flags
367,Stratos,Stratos,HIGH,Supplements - health,skyhighperformers,161.45,percent,64.0,UNKNOWN,103.33,UNKNOWN,UNKNOWN,Request promotion,NO,375.0,2025-08-14,health-supplement,SUPPLEMENT,4,
368,ExpertSlides - The secret weapon for your presentations!,ExpertSlides,HIGH,Software,expertslides,280.39,percent,50.0,UNKNOWN,133.37,UNKNOWN,UNKNOWN,Promote now,YES,1467.0,2022-08-18,ai-software,MIRACLE_CLAIM,4,PRICE_APPROX
369,Primordial Vigor X,Primordial Vigor X,HIGH,Supplements - health,KoalaAdvertising,80.72,percent,65.0,UNKNOWN,52.47,UNKNOWN,UNKNOWN,Promote now,YES,507.0,2025-04-04,health-supplement,SUPPLEMENT,4,
370,JointEternal,JointEternal,HIGH,Supplements - health,naturalcell,69.02,percent,75.0,UNKNOWN,51.77,UNKNOWN,UNKNOWN,Promote now,YES,1126.0,2023-07-25,health-supplement,SUPPLEMENT,4,
371,Energy Revolution System - Conversions Monster !,Energy Revolution System,HIGH,E-books,tuenergizer,45.63,percent,75.0,UNKNOWN,34.22,UNKNOWN,UNKNOWN,Promote now,YES,707.0,2024-09-16,other,NONE,4,
372,PotentStream,PotentStream,HIGH,Supplements - health,PotentStream,343.95,percent,55.0,UNKNOWN,189.17,UNKNOWN,UNKNOWN,Request promotion,NO,858.0,2024-04-18,health-supplement,SUPPLEMENT,4,
373,Nervogen Pro,Nervogen Pro,HIGH,Supplements - health,NervogenPro,343.95,percent,55.0,UNKNOWN,189.17,UNKNOWN,UNKNOWN,Request promotion,NO,832.0,2024-05-14,health-supplement,SUPPLEMENT,4,
374,Keskara,Keskara,HIGH,Supplements - health,biofraga,343.95,percent,65.0,UNKNOWN,223.57,UNKNOWN,UNKNOWN,Request promotion,NO,886.0,2024-03-21,health-supplement,SUPPLEMENT,4,
375,LADY FORTUNA,LADY FORTUNA,HIGH,Member area and video courses,dewishes,43.29,percent,75.0,UNKNOWN,32.46,UNKNOWN,UNKNOWN,Promote now,YES,908.0,2024-02-28,education-courses,NONE,4,
376,10-Video Course PLR + MRR Bundle - Start Making Money NOW!,Start Making Money,HIGH,Downloads,HeikoBoos,215.96,percent,50.0,UNKNOWN,107.98,UNKNOWN,UNKNOWN,Promote now,YES,670.0,2024-10-23,education-courses,NONE,4,
377,Promote MounjaBoost Now!,MounjaBoost,HIGH,Supplements - for slimming,MaxiOffer,80.72,percent,65.0,UNKNOWN,52.47,UNKNOWN,UNKNOWN,Promote now,YES,476.0,2025-05-05,weight-loss,NONE,4,
378,The Ultimate Energizer - Insane EPCs and Conversions !,The Ultimate Energizer,HIGH,E-books,tuenergizer,57.33,percent,90.0,UNKNOWN,51.59,UNKNOWN,UNKNOWN,Promote now,YES,1535.0,2022-06-11,other,NONE,4,
379,AppaNail,AppaNail,HIGH,Supplements - health,appanail,92.42,percent,65.0,UNKNOWN,60.07,UNKNOWN,UNKNOWN,Promote now,YES,587.0,2025-01-14,health-supplement,SUPPLEMENT,4,
380,CreativeWave – Built to CRUSH Internationally!,Built to CRUSH Internationally,HIGH,Downloads,primarytour,57.33,percent,80.0,UNKNOWN,45.86,UNKNOWN,UNKNOWN,Promote now,YES,557.0,2025-02-13,other,NONE,4,
381,⚡⚡ All Day Slimming Tea - Over $100 Per Sale + Low Refunds,All Day Slimming Tea,HIGH,Supplements - for slimming,alldayslimtea,343.95,percent,60.0,UNKNOWN,206.37,UNKNOWN,UNKNOWN,Promote now,YES,1715.0,2021-12-13,weight-loss,NONE,4,
382,The best Low Carb Recipes in less than 10 minutes free book,The best Low Carb Recipes in less than 10 minutes free book,LOW,E-books,produktmanagerin,35.04,percent,100.0,UNKNOWN,35.04,UNKNOWN,UNKNOWN,Promote now,YES,1681.0,2022-01-16,other,NONE,4,
383,Miracle Money Magnets,Miracle Money Magnets,HIGH,Member area and video courses,MiracleMoneyMagnet,8.19,percent,70.0,UNKNOWN,5.73,UNKNOWN,UNKNOWN,Promote now,YES,1692.0,2022-01-05,education-courses,MIRACLE_CLAIM,4,
384,"How To Make $1,000-5,000 RECURRING with AI Army","How To Make $1,000-5,000 RECURRING with AI Army",LOW,Member area and video courses,richboy138,526.45,percent,50.0,UNKNOWN,263.23,UNKNOWN,UNKNOWN,Promote now,YES,530.0,2025-03-12,ai-software,NONE,4,
385,X Profits - Brand New Bizopp Offer for 2024!,X Profits,HIGH,Member area and video courses,xprofitsai,62.25,percent,60.0,UNKNOWN,23.29,7.0,27.99,Promote now,YES,969.0,2023-12-29,education-courses,NONE,4,
386,Start Promoting NeuroVera Today!,Start Promoting NeuroVera Today,HIGH,Supplements - health,zenmavibe,187.83,percent,65.0,UNKNOWN,28.63,5.0,60.65,Promote now,YES,187.0,2026-02-18,health-supplement,SUPPLEMENT,4,
387,Earn 70% Promote the Understanding Hypertension Ebook,Earn 70% Promote the Understanding Hypertension Ebook,MEDIUM,E-books,Fitlifesolutions,37.0,percent,80.0,UNKNOWN,29.6,UNKNOWN,UNKNOWN,Promote now,YES,321.0,2025-10-07,other,MAKE_MONEY,4,
388,Thriving in Turbulent Times,Thriving in Turbulent Times,HIGH,E-books,mirovski,81.88,percent,60.0,UNKNOWN,49.12,UNKNOWN,UNKNOWN,Promote now,YES,1041.0,2023-10-18,other,NONE,4,
389,Lose 15 lbs in 30 Days Eating What You Love – 80% Commissiom,80% Commissiom,HIGH,E-books,Fitlifesolutions,37.0,percent,80.0,UNKNOWN,29.6,UNKNOWN,UNKNOWN,Promote now,YES,161.0,2026-03-16,other,NONE,4,
390,The best value tool for self-published authors on the market,The best value tool for self-published authors on the market,LOW,Member area and video courses,BookMuffin,57.33,percent,40.0,UNKNOWN,22.93,UNKNOWN,UNKNOWN,Promote now,YES,698.0,2024-09-25,home-diy,NONE,4,
391,Unlock Your Potential with The Ultimate Life Transformation,Unlock Your Potential with The Ultimate Life Transformation,LOW,Downloads,tom_cruise,20.0,percent,70.0,UNKNOWN,14.0,UNKNOWN,UNKNOWN,Promote now,YES,367.0,2025-08-22,other,NONE,4,
392,Genius Brain Signal,Genius Brain Signal,HIGH,Downloads,astral43,43.29,percent,80.0,UNKNOWN,34.63,UNKNOWN,UNKNOWN,Request promotion,NO,262.0,2025-12-05,mental-wellbeing,MEDICAL,4,
393,Writelytic - Lifetime Commissions,Writelytic,HIGH,Member area and video courses,chiefim,336.93,percent,30.0,UNKNOWN,101.08,UNKNOWN,UNKNOWN,Promote now,YES,1207.0,2023-05-05,education-courses,NONE,4,
394,Life is Good - Online Course,Life is Good,HIGH,Member area and video courses,phoenix555,7.0,percent,33.0,UNKNOWN,38.61,UNKNOWN,UNKNOWN,Promote now,YES,1223.0,2023-04-19,education-courses,NONE,4,
395,Mastering Autonomous Agents and Reasoning Models,Mastering Autonomous Agents and Reasoning Models,MEDIUM,E-books,Fitlifesolutions,37.0,percent,80.0,UNKNOWN,29.6,UNKNOWN,UNKNOWN,Promote now,YES,159.0,2026-03-18,other,NONE,4,
396,Unlock Your Full Potential with AI For Life Bundle,Unlock Your Full Potential with AI For Life Bundle,LOW,Downloads,tom_cruise,20.0,percent,50.0,UNKNOWN,10.0,UNKNOWN,UNKNOWN,Promote now,YES,367.0,2025-08-22,ai-software,NONE,4,
397,The Quantum Brain System - eBook,The Quantum Brain System,HIGH,E-books,AAnchorBiz,113.48,percent,50.0,UNKNOWN,56.74,UNKNOWN,UNKNOWN,Request promotion,NO,516.0,2025-03-26,mental-wellbeing,MEDICAL,4,
398,Local Lead Generation Blueprint | Earn 75% Commissions,Local Lead Generation Blueprint,HIGH,E-books,darrelltee,176.65,percent,75.0,UNKNOWN,132.49,UNKNOWN,UNKNOWN,Promote now,YES,323.0,2025-10-05,other,MAKE_MONEY,4,
399,8000 Animated Graphics Firesale (ZIP) - GIF,8000 Animated Graphics Firesale (ZIP),HIGH,Downloads,hamdi4321,70.18,flat,UNKNOWN,30.0,35.1,UNKNOWN,UNKNOWN,Promote now,YES,692.0,2024-10-01,other,NONE,4,COMMISSION_FLAT
400,Power BI for Business Analysts - Learn with Real NBA Data,Power BI for Business Analysts,HIGH,Downloads,datazorro,33.93,percent,50.0,UNKNOWN,16.96,UNKNOWN,UNKNOWN,Promote now,YES,208.0,2026-01-28,education-courses,NONE,4,
401,28-Day Gut and Inflammation Reset,28-Day Gut and Inflammation Reset,MEDIUM,E-books,penneymegginson9f1b,54.99,percent,50.0,UNKNOWN,27.49,UNKNOWN,UNKNOWN,Promote now,YES,143.0,2026-04-03,health-supplement,SUPPLEMENT,5,
402,Boost Your Freelance Productivity – All-in-One Action Kit,Boost Your Freelance Productivity,HIGH,Downloads,fkcproject,29.25,percent,80.0,UNKNOWN,23.4,UNKNOWN,UNKNOWN,Promote now,YES,368.0,2025-08-21,make-money-online,NONE,5,
403,Dog Trainer Bible (The Ultimate eBook collection),Dog Trainer Bible (The Ultimate eBook collection),MEDIUM,Downloads,TopCourseCreator,54.99,percent,50.0,UNKNOWN,27.49,UNKNOWN,UNKNOWN,Promote now,YES,796.0,2024-06-19,pets,NONE,5,
404,AI Song Blueprint – One Keyword. One Song. Done.,One Keyword. One Song. Done,HIGH,E-books,DomkeMedia,33.93,percent,45.0,UNKNOWN,15.27,UNKNOWN,UNKNOWN,Promote now,YES,135.0,2026-04-11,ai-software,NONE,5,
405,90 Days of Martial Arts at Home — No Equipment Training 50%,No Equipment Training 50%,HIGH,E-books,ahmadrrrtx3332f1e,19.89,percent,50.0,UNKNOWN,9.94,UNKNOWN,UNKNOWN,Promote now,YES,176.0,2026-03-01,fitness,NONE,5,
406,Forex MT5 Viper Strategy For MetaTrader 5 Platform,Forex MT5 Viper Strategy For MetaTrader 5 Platform,LOW,Software,forexobroker,43.29,percent,60.0,UNKNOWN,25.97,UNKNOWN,UNKNOWN,Promote now,YES,293.0,2025-11-04,forex-crypto-trading,FINANCIAL,5,
407,The Busy Person's Blueprint to Natural Weight Loss,The Busy Person's Blueprint to Natural Weight Loss,LOW,E-books,Fitlifesolutions,37.0,percent,80.0,UNKNOWN,29.6,UNKNOWN,UNKNOWN,Promote now,YES,315.0,2025-10-13,weight-loss,MEDICAL,5,
408,Self-guided scavenger hunt Cologne | Hint-Caching,Self-guided scavenger hunt Cologne,HIGH,Member area and video courses,hintcaching,33.93,percent,20.0,UNKNOWN,11.47,UNKNOWN,UNKNOWN,Promote now,YES,1223.0,2023-04-19,education-courses,NONE,5,
409,Self-guided scavenger hunt Frankfurt | Hint-Caching,Self-guided scavenger hunt Frankfurt,HIGH,Member area and video courses,hintcaching,33.93,percent,20.0,UNKNOWN,11.47,UNKNOWN,UNKNOWN,Promote now,YES,908.0,2024-02-28,education-courses,NONE,5,
410,Executive Function Toolkit | Earn 50% + Funnel Commissions,Executive Function Toolkit,HIGH,Downloads,Fleximind,16.38,percent,50.0,UNKNOWN,8.19,UNKNOWN,UNKNOWN,Promote now,YES,375.0,2025-08-14,other,MAKE_MONEY,5,
411,Gaslighting Recovery Toolkit | 50% Commissions + Upsells,Gaslighting Recovery Toolkit,HIGH,Downloads,Fleximind,16.38,percent,50.0,UNKNOWN,8.19,UNKNOWN,UNKNOWN,Promote now,YES,375.0,2025-08-14,other,NONE,5,
412,Healthy Boundaries Toolkit | Promote and Earn 50%,Healthy Boundaries Toolkit,HIGH,Downloads,Fleximind,16.38,percent,50.0,UNKNOWN,8.19,UNKNOWN,UNKNOWN,Promote now,YES,375.0,2025-08-14,other,MAKE_MONEY,5,
413,Anger Management Toolkit | Therapist-Created |50% Commission,Anger Management Toolkit,HIGH,Downloads,Fleximind,16.38,percent,50.0,UNKNOWN,8.19,UNKNOWN,UNKNOWN,Promote now,YES,375.0,2025-08-14,other,NONE,5,
414,People Pleasing Recovery Toolkit | 50% Commissions + Upsells,People Pleasing Recovery Toolkit,HIGH,Downloads,Fleximind,16.38,percent,50.0,UNKNOWN,8.19,UNKNOWN,UNKNOWN,Promote now,YES,375.0,2025-08-14,other,NONE,5,
415,Sleep Hygiene Toolkit | High-Demand Wellness Niche | 50%,Sleep Hygiene Toolkit,HIGH,Downloads,Fleximind,16.38,percent,50.0,UNKNOWN,8.19,UNKNOWN,UNKNOWN,Promote now,YES,375.0,2025-08-14,mental-wellbeing,NONE,5,
416,Little Leaks That Keep Ordinary People Under 40 Poor,Little Leaks That Keep Ordinary People Under 40 Poor,LOW,E-books,TopCourseCreator,11.7,percent,50.0,UNKNOWN,5.85,UNKNOWN,UNKNOWN,Promote now,YES,355.0,2025-09-03,other,NONE,5,
417,High-Converting Herbal Health Offer Solve 28+ Common Problem,High-Converting Herbal Health Offer Solve 28+ Common Problem,LOW,E-books,wellnesswithsher,22.93,percent,60.0,UNKNOWN,13.76,UNKNOWN,UNKNOWN,Promote now,YES,190.0,2026-02-15,other,NONE,5,
