record_id,product_name,brand_name,brand_confidence,product_type,vendor,price_usd,commission_type,commission_pct,commission_flat_usd,net_earnings_per_sale_usd,cart_conversion_pct,cancellation_rate_pct,promotion_status,promotable_now,product_age_days,online_since_iso,derived_niche,risk_flags,source_page,parse_flags,econ_score,sc_payout,sc_commission,sc_conversion,sc_retention,sc_promotable,sc_effort_worth,sc_stability
612,VitaFirm,VitaFirm,HIGH,Supplements - health,freedomhealthllc,343.95,percent,65.0,UNKNOWN,223.57,UNKNOWN,UNKNOWN,Promote now,YES,1553.0,2022-05-24,health-supplement,SUPPLEMENT,7,,77.4,25.0,10.4,8.0,8.0,10.0,13.0,3.0
618,Pineal 10x,Pineal 10x,HIGH,Supplements - health,midasman88,273.76,percent,65.0,UNKNOWN,177.94,UNKNOWN,UNKNOWN,Promote now,YES,451.0,2025-05-30,health-supplement,SUPPLEMENT|MIRACLE_CLAIM,7,,77.4,25.0,10.4,8.0,8.0,10.0,13.0,3.0
805,PS1000 MetaBurst,PS1000 MetaBurst,HIGH,Supplements - for slimming,championscience,343.95,percent,65.0,UNKNOWN,223.57,UNKNOWN,UNKNOWN,Promote now,YES,858.0,2024-04-18,weight-loss,NONE,9,,77.4,25.0,10.4,8.0,8.0,10.0,13.0,3.0
34,Tufting Mastery Class | How To Make Rugs,How To Make Rugs,HIGH,Member area and video courses,kramis_teppich_design,99.44,percent,50.0,UNKNOWN,42.3,4.0,2.57,Promote now,YES,1018.0,2023-11-10,education-courses,NONE,1,,77.22,18.78,8.0,4.44,20.0,10.0,13.0,3.0
350,The AI Side Hustle System | Earn 75% Commissions,The AI Side Hustle System,HIGH,E-books,darrelltee,178.99,percent,75.0,UNKNOWN,134.25,UNKNOWN,UNKNOWN,Promote now,YES,323.0,2025-10-05,make-money-online,MAKE_MONEY,4,,76.95,24.45,12.0,8.0,8.0,10.0,13.0,1.5
490,Home Brewing for Dads | Earn 75% Commissions,Home Brewing for Dads,HIGH,E-books,darrelltee,178.99,percent,75.0,UNKNOWN,134.25,UNKNOWN,UNKNOWN,Promote now,YES,323.0,2025-10-05,other,MAKE_MONEY,5,,76.95,24.45,12.0,8.0,8.0,10.0,13.0,1.5
398,Local Lead Generation Blueprint | Earn 75% Commissions,Local Lead Generation Blueprint,HIGH,E-books,darrelltee,176.65,percent,75.0,UNKNOWN,132.49,UNKNOWN,UNKNOWN,Promote now,YES,323.0,2025-10-05,other,MAKE_MONEY,4,,76.89,24.39,12.0,8.0,8.0,10.0,13.0,1.5
489,The First-Time Chicken Keeper's | Earn 75% Commissions,The First-Time Chicken Keeper's,HIGH,E-books,darrelltee,171.98,percent,75.0,UNKNOWN,128.98,UNKNOWN,UNKNOWN,Promote now,YES,323.0,2025-10-05,pets,MAKE_MONEY,5,,76.75,24.25,12.0,8.0,8.0,10.0,13.0,1.5
488,Frugal Freedom | Earn 75% Commissions,Frugal Freedom,HIGH,E-books,darrelltee,167.3,percent,75.0,UNKNOWN,125.47,UNKNOWN,UNKNOWN,Promote now,YES,323.0,2025-10-05,other,MAKE_MONEY,5,,76.62,24.12,12.0,8.0,8.0,10.0,13.0,1.5
123,TeslaCare,TeslaCare,HIGH,Deliverable,Tesla14,583.78,percent,60.0,UNKNOWN,350.27,UNKNOWN,UNKNOWN,Promote now,YES,663.0,2024-10-30,health-supplement,SUPPLEMENT,2,,76.6,25.0,9.6,8.0,8.0,10.0,13.0,3.0
289,SynaBoost,SynaBoost,HIGH,Supplements - health,synaboost,343.95,percent,60.0,UNKNOWN,206.37,UNKNOWN,UNKNOWN,Promote now,YES,567.0,2025-02-03,health-supplement,SUPPLEMENT,3,,76.6,25.0,9.6,8.0,8.0,10.0,13.0,3.0
381,⚡⚡ All Day Slimming Tea - Over $100 Per Sale + Low Refunds,All Day Slimming Tea,HIGH,Supplements - for slimming,alldayslimtea,343.95,percent,60.0,UNKNOWN,206.37,UNKNOWN,UNKNOWN,Promote now,YES,1715.0,2021-12-13,weight-loss,NONE,4,,76.6,25.0,9.6,8.0,8.0,10.0,13.0,3.0
471,Top T — Advanced Testosterone Booster,Advanced Testosterone Booster,HIGH,Supplements - health,enhancedlabs,307.05,percent,60.0,UNKNOWN,184.24,UNKNOWN,UNKNOWN,Promote now,YES,432.0,2025-06-18,health-supplement,SUPPLEMENT|MEDICAL,5,,76.6,25.0,9.6,8.0,8.0,10.0,13.0,3.0
615,Glucofreeze,Glucofreeze,HIGH,Supplements - health,freedomhealthllc,343.95,percent,60.0,UNKNOWN,206.37,UNKNOWN,UNKNOWN,Promote now,YES,1599.0,2022-04-08,health-supplement,SUPPLEMENT,7,,76.6,25.0,9.6,8.0,8.0,10.0,13.0,3.0
628,Gluco Care,Gluco Care,HIGH,Supplements - health,LongLife_Supplements,343.95,percent,60.0,UNKNOWN,206.37,UNKNOWN,UNKNOWN,Promote now,YES,969.0,2023-12-29,health-supplement,SUPPLEMENT,7,,76.6,25.0,9.6,8.0,8.0,10.0,13.0,3.0
773,Black Ox - Hardcore Test Enhancer,Hardcore Test Enhancer,HIGH,Supplements - health,enhancedlabs,333.37,percent,60.0,UNKNOWN,200.03,UNKNOWN,UNKNOWN,Promote now,YES,1172.0,2023-06-09,health-supplement,SUPPLEMENT,8,,76.6,25.0,9.6,8.0,8.0,10.0,13.0,3.0
825,Tesla Grounding,Tesla Grounding,HIGH,Deliverable,Tesla14,466.79,percent,60.0,UNKNOWN,280.07,UNKNOWN,UNKNOWN,Promote now,YES,486.0,2025-04-25,health-supplement,SUPPLEMENT,9,,76.6,25.0,9.6,8.0,8.0,10.0,13.0,3.0
327,The Complete Social Confidence System | Earn 75% Commissions,The Complete Social Confidence System,HIGH,E-books,darrelltee,162.62,percent,75.0,UNKNOWN,121.96,UNKNOWN,UNKNOWN,Promote now,YES,323.0,2025-10-05,mental-wellbeing,MAKE_MONEY,4,,76.48,23.98,12.0,8.0,8.0,10.0,13.0,1.5
